DATE,30y
2000-08-01,5.49
2000-08-02,5.49
2000-08-03,5.55
2000-08-04,5.52
2000-08-07,5.52
2000-08-08,5.54
2000-08-09,5.54
2000-08-10,5.45
2000-08-11,5.37
2000-08-14,5.35
2000-08-15,5.43
2000-08-16,5.5
2000-08-17,5.38
2000-08-18,5.45
2000-08-21,5.45
2000-08-22,5.47
2000-08-23,5.46
2000-08-24,5.41
2000-08-25,5.49
2000-08-28,5.49
2000-08-29,5.47
2000-08-30,5.55
2000-08-31,5.59
2000-09-01,5.62
2000-09-04,5.56
2000-09-05,5.6
2000-09-06,5.58
2000-09-07,5.62
2000-09-08,5.59
2000-09-11,5.63
2000-09-12,5.66
2000-09-13,5.73
2000-09-14,5.82
2000-09-15,5.84
2000-09-18,6.0
2000-09-19,5.99
2000-09-20,5.93
2000-09-21,5.94
2000-09-22,5.91
2000-09-25,5.92
2000-09-26,5.9
2000-09-27,6.0
2000-09-28,5.91
2000-09-29,5.92
2000-10-02,5.91
2000-10-04,5.96
2000-10-05,6.0
2000-10-06,5.99
2000-10-09,5.95
2000-10-10,5.93
2000-10-11,5.92
2000-10-12,5.87
2000-10-13,5.82
2000-10-16,5.85
2000-10-17,5.94
2000-10-18,5.94
2000-10-19,5.88
2000-10-20,5.93
2000-10-23,5.89
2000-10-24,5.89
2000-10-25,5.79
2000-10-26,5.86
2000-10-27,5.86
2000-10-30,5.92
2000-10-31,5.89
2000-11-01,5.93
2000-11-02,5.94
2000-11-03,5.88
2000-11-06,5.83
2000-11-07,5.86
2000-11-08,5.95
2000-11-09,5.95
2000-11-10,5.91
2000-11-13,5.9
2000-11-14,6.05
2000-11-15,6.05
2000-11-16,5.9
2000-11-17,5.92
2000-11-20,5.92
2000-11-21,5.96
2000-11-22,5.85
2000-11-23,5.83
2000-11-24,5.81
2000-11-27,5.73
2000-11-28,5.73
2000-11-29,5.74
2000-11-30,5.74
2000-12-01,5.71
2000-12-04,5.78
2000-12-05,5.82
2000-12-06,5.85
2000-12-07,5.92
2000-12-08,5.85
2000-12-11,5.82
2000-12-12,5.87
2000-12-13,5.91
2000-12-14,5.78
2000-12-15,5.66
2000-12-18,5.78
2000-12-19,5.74
2000-12-20,5.82
2000-12-21,5.88
2000-12-22,5.84
2000-12-27,5.79
2000-12-28,5.82
2000-12-29,5.78
2001-01-02,5.71
2001-01-03,5.64
2001-01-04,5.67
2001-01-05,5.68
2001-01-08,5.69
2001-01-09,5.68
2001-01-10,5.71
2001-01-11,5.69
2001-01-12,5.8
2001-01-15,5.77
2001-01-16,5.8
2001-01-17,5.84
2001-01-18,5.72
2001-01-19,5.82
2001-01-22,5.85
2001-01-23,5.84
2001-01-24,5.84
2001-01-25,5.82
2001-01-26,5.7
2001-01-29,5.72
2001-01-30,5.77
2001-01-31,5.78
2001-02-01,5.74
2001-02-02,5.61
2001-02-05,5.68
2001-02-06,5.64
2001-02-07,5.63
2001-02-08,5.62
2001-02-09,5.62
2001-02-12,5.64
2001-02-13,5.67
2001-02-14,5.71
2001-02-15,5.71
2001-02-16,5.69
2001-02-19,5.73
2001-02-20,5.74
2001-02-21,5.7
2001-02-22,5.78
2001-02-23,5.8
2001-02-26,5.79
2001-02-27,5.78
2001-02-28,5.78
2001-03-01,5.77
2001-03-02,5.76
2001-03-05,5.76
2001-03-06,5.79
2001-03-07,5.77
2001-03-08,5.76
2001-03-09,5.71
2001-03-12,5.68
2001-03-13,5.72
2001-03-14,5.77
2001-03-15,5.8
2001-03-16,5.82
2001-03-19,5.79
2001-03-20,5.79
2001-03-21,5.74
2001-03-22,5.72
2001-03-23,5.69
2001-03-26,5.7
2001-03-27,5.69
2001-03-28,5.72
2001-03-29,5.75
2001-03-30,5.78
2001-04-02,5.79
2001-04-03,5.83
2001-04-04,5.82
2001-04-05,5.87
2001-04-06,5.82
2001-04-09,5.82
2001-04-10,5.83
2001-04-11,5.88
2001-04-12,5.84
2001-04-17,5.88
2001-04-18,5.94
2001-04-19,5.97
2001-04-20,6.01
2001-04-23,5.97
2001-04-24,5.89
2001-04-25,5.9
2001-04-26,5.99
2001-04-27,5.89
2001-04-30,5.92
2001-05-02,5.97
2001-05-03,5.94
2001-05-04,5.9
2001-05-07,5.86
