DATE,6m
1997-08-07,3.23
1997-08-08,3.24
1997-08-11,3.23
1997-08-12,3.24
1997-08-13,3.3
1997-08-14,3.31
1997-08-15,3.35
1997-08-18,3.32
1997-08-19,3.29
1997-08-20,3.29
1997-08-21,3.33
1997-08-22,3.36
1997-08-25,3.35
1997-08-26,3.37
1997-08-27,3.37
1997-08-28,3.33
1997-08-29,3.31
1997-09-01,3.37
1997-09-02,3.33
1997-09-03,3.33
1997-09-04,3.34
1997-09-05,3.32
1997-09-08,3.3
1997-09-09,3.31
1997-09-10,3.3
1997-09-11,3.31
1997-09-12,3.33
1997-09-15,3.35
1997-09-16,3.38
1997-09-17,3.36
1997-09-18,3.38
1997-09-19,3.39
1997-09-22,3.41
1997-09-23,3.38
1997-09-24,3.38
1997-09-25,3.39
1997-09-26,3.44
1997-09-29,3.43
1997-09-30,3.44
1997-10-01,3.42
1997-10-02,3.43
1997-10-06,3.4
1997-10-07,3.39
1997-10-08,3.4
1997-10-09,3.45
1997-10-10,3.66
1997-10-13,3.64
1997-10-14,3.64
1997-10-15,3.66
1997-10-16,3.72
1997-10-17,3.74
1997-10-20,3.76
1997-10-21,3.77
1997-10-22,3.82
1997-10-23,3.83
1997-10-24,3.83
1997-10-27,3.81
1997-10-28,3.72
1997-10-29,3.76
1997-10-30,3.73
1997-10-31,3.74
1997-11-03,3.74
1997-11-04,3.75
1997-11-05,3.76
1997-11-06,3.81
1997-11-07,3.81
1997-11-10,3.84
1997-11-11,3.83
1997-11-12,3.85
1997-11-13,3.85
1997-11-14,3.84
1997-11-17,3.83
1997-11-18,3.81
1997-11-19,3.81
1997-11-20,3.8
1997-11-21,3.8
1997-11-24,3.79
1997-11-25,3.79
1997-11-26,3.81
1997-11-27,3.83
1997-11-28,3.81
1997-12-01,3.81
1997-12-02,3.81
1997-12-03,3.84
1997-12-04,3.82
1997-12-05,3.81
1997-12-08,3.83
1997-12-09,3.81
1997-12-10,3.82
1997-12-11,3.79
1997-12-12,3.81
1997-12-15,3.77
1997-12-16,3.81
1997-12-17,3.78
1997-12-18,3.72
1997-12-19,3.73
1997-12-22,3.65
1997-12-23,3.65
1997-12-29,3.63
1997-12-30,3.65
1998-01-02,3.66
1998-01-05,3.62
1998-01-06,3.65
1998-01-07,3.66
1998-01-08,3.6
1998-01-09,3.56
1998-01-12,3.54
1998-01-13,3.53
1998-01-14,3.55
1998-01-15,3.55
1998-01-16,3.53
1998-01-19,3.52
1998-01-20,3.52
1998-01-21,3.52
1998-01-22,3.56
1998-01-23,3.55
1998-01-26,3.55
1998-01-27,3.52
1998-01-28,3.53
1998-01-29,3.54
1998-01-30,3.52
1998-02-02,3.52
1998-02-03,3.52
1998-02-04,3.55
1998-02-05,3.52
1998-02-06,3.53
1998-02-09,3.49
1998-02-10,3.47
1998-02-11,3.46
1998-02-12,3.46
1998-02-13,3.45
1998-02-16,3.45
1998-02-17,3.45
