DATE,6m,1y,2y,5y,10y,20y,30y
1997-08-07,3.23,3.45,3.9,4.98,5.95,6.63,
1997-08-08,3.24,3.45,3.88,4.95,5.95,6.69,
1997-08-11,3.23,3.43,3.85,4.93,5.95,6.67,
1997-08-12,3.24,3.44,3.86,4.93,5.91,6.6,
1997-08-13,3.3,3.52,3.96,5.0,5.95,6.63,
1997-08-14,3.31,3.54,3.96,4.96,5.92,6.59,
1997-08-15,3.35,3.58,4.0,4.97,5.9,6.57,
1997-08-18,3.32,3.52,3.93,4.96,5.91,6.58,
1997-08-19,3.29,3.49,3.89,4.9,5.84,6.51,
1997-08-20,3.29,3.52,3.95,4.94,5.89,6.57,
1997-08-21,3.33,3.57,4.0,4.98,5.89,6.51,
1997-08-22,3.36,3.6,4.03,4.99,5.9,6.55,
1997-08-25,3.35,3.6,4.05,5.05,5.97,6.61,
1997-08-26,3.37,3.62,4.08,5.07,5.96,6.58,
1997-08-27,3.37,3.61,4.05,5.02,5.91,6.55,
1997-08-28,3.33,3.57,4.01,4.99,5.93,6.59,
1997-08-29,3.31,3.53,3.96,5.0,5.93,6.57,
1997-09-01,3.37,3.59,4.03,5.03,5.92,6.58,
1997-09-02,3.33,3.56,4.01,5.05,5.94,6.57,
1997-09-03,3.33,3.58,4.06,5.04,5.9,6.54,
1997-09-04,3.34,3.6,4.06,5.04,5.89,6.51,
1997-09-05,3.32,3.57,4.03,5.02,5.88,6.5,
1997-09-08,3.3,3.55,3.99,4.98,5.9,6.58,
1997-09-09,3.31,3.55,4.0,5.02,5.9,6.52,
1997-09-10,3.3,3.53,3.96,4.95,5.84,6.49,
1997-09-11,3.31,3.55,3.98,4.99,5.88,6.51,
1997-09-12,3.33,3.55,3.98,4.98,5.88,6.51,
1997-09-15,3.35,3.61,4.05,5.01,5.86,6.49,
1997-09-16,3.38,3.62,4.04,4.98,5.84,6.43,
1997-09-17,3.36,3.61,4.04,4.95,5.75,6.37,
1997-09-18,3.38,3.62,4.03,4.93,5.74,6.36,
1997-09-19,3.39,3.63,4.04,4.93,5.72,6.34,
1997-09-22,3.41,3.66,4.09,4.96,5.7,6.27,
1997-09-23,3.38,3.63,4.06,4.93,5.72,6.34,
1997-09-24,3.38,3.62,4.03,4.9,5.68,6.31,
1997-09-25,3.39,3.63,4.06,4.95,5.71,6.3,
1997-09-26,3.44,3.68,4.1,4.98,5.73,6.3,
1997-09-29,3.43,3.69,4.12,4.97,5.73,6.34,
1997-09-30,3.44,3.67,4.09,4.96,5.72,6.29,
1997-10-01,3.42,3.67,4.1,4.96,5.67,6.24,
1997-10-02,3.43,3.69,4.14,4.95,5.66,6.23,
1997-10-06,3.4,3.67,4.11,4.94,5.61,6.17,
1997-10-07,3.39,3.66,4.11,4.91,5.6,6.15,
1997-10-08,3.4,3.67,4.11,4.93,5.62,6.16,
1997-10-09,3.45,3.75,4.21,5.02,5.67,6.21,
1997-10-10,3.66,3.99,4.45,5.19,5.74,6.17,
1997-10-13,3.64,3.98,4.42,5.16,5.77,6.18,
1997-10-14,3.64,3.93,4.38,5.17,5.74,6.2,
1997-10-15,3.66,3.98,4.46,5.17,5.76,6.22,
1997-10-16,3.72,4.09,4.56,5.25,5.81,6.3,
1997-10-17,3.74,4.12,4.62,5.31,5.88,6.31,
1997-10-20,3.76,4.12,4.61,5.3,5.84,6.3,
