F2 CAPITAL MARKET YIELDS – GOVERNMENT BONDS,,,,,,,,,,,,,,,,,,,,,,,,
Title,Australian Government 2 year bond,Australian Government 3 year bond,Australian Government 5 year bond,Australian Government 10 year bond,Australian Government Indexed Bond,NSW Treasury Corporation 3 year bond,NSW Treasury Corporation 5 year bond,NSW Treasury Corporation 10 year bond,,,,,,,,,,,,,,,,
Description,"Yields on Australian government bonds, 2 years maturity","Yields on Australian government bonds, 3 years maturity","Yields on Australian government bonds, 5 years maturity","Yields on Australian government bonds, 10 years maturity","Yields on Australian government bonds, Indexed maturity","Yields on New South Wales Treasury Corporation bonds, 3 years maturity","Yields on New South Wales Treasury Corporation bonds, 5 years maturity","Yields on New South Wales Treasury Corporation bonds, 10 years maturity",,,,,,,,,,,,,,,,
Frequency,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,,,,,,,,,,,,,,,,
Type,Original,Original,Original,Original,Original,Original,Original,Original,,,,,,,,,,,,,,,,
Units,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Source,Yieldbroker,Yieldbroker,Yieldbroker,Yieldbroker,Yieldbroker,Yieldbroker,Yieldbroker,Yieldbroker,,,,,,,,,,,,,,,,
Publish date,18-Mar-2019,18-Mar-2019,18-Mar-2019,18-Mar-2019,18-Mar-2019,18-Mar-2019,18-Mar-2019,18-Mar-2019,,,,,,,,,,,,,,,,
Series ID,FCMYGBAG2D,FCMYGBAG3D,FCMYGBAG5D,FCMYGBAG10D,FCMYGBAGID,FCMYGBNT3D,FCMYGBNT5D,FCMYGBNT10D,,,,,,,,,,,,,,,,
20-May-2013,2.48,2.53,2.76,3.22,1.05,2.90,3.25,3.95,,,,,,,,,,,,,,,,
21-May-2013,2.52,2.57,2.80,3.26,1.05,2.94,3.29,3.99,,,,,,,,,,,,,,,,
22-May-2013,2.54,2.58,2.81,3.27,1.08,2.95,3.30,4.00,,,,,,,,,,,,,,,,
23-May-2013,2.53,2.59,2.83,3.30,1.10,2.95,3.31,4.03,,,,,,,,,,,,,,,,
24-May-2013,2.54,2.60,2.84,3.31,1.11,2.97,3.33,4.05,,,,,,,,,,,,,,,,
27-May-2013,2.51,2.57,2.81,3.27,1.08,2.95,3.31,4.02,,,,,,,,,,,,,,,,
28-May-2013,2.55,2.61,2.85,3.33,1.13,2.99,3.35,4.07,,,,,,,,,,,,,,,,
29-May-2013,2.60,2.66,2.94,3.47,1.25,3.03,3.42,4.19,,,,,,,,,,,,,,,,
30-May-2013,2.56,2.62,2.88,3.40,1.22,2.99,3.37,4.14,,,,,,,,,,,,,,,,
31-May-2013,2.55,2.60,2.84,3.36,1.20,2.97,3.34,4.11,,,,,,,,,,,,,,,,
03-Jun-2013,2.57,2.63,2.88,3.42,1.25,3.00,3.38,4.16,,,,,,,,,,,,,,,,
04-Jun-2013,2.59,2.66,2.90,3.44,1.27,3.03,3.41,4.19,,,,,,,,,,,,,,,,
05-Jun-2013,2.54,2.61,2.86,3.39,1.25,2.98,3.37,4.14,,,,,,,,,,,,,,,,
06-Jun-2013,2.47,2.54,2.80,3.34,1.24,2.92,3.33,4.11,,,,,,,,,,,,,,,,
07-Jun-2013,2.42,2.46,2.72,3.26,1.18,2.85,3.25,4.03,,,,,,,,,,,,,,,,
11-Jun-2013,2.50,2.55,2.84,3.41,1.33,2.93,3.36,4.17,,,,,,,,,,,,,,,,
12-Jun-2013,2.55,2.60,2.89,3.45,1.43,2.98,3.42,4.23,,,,,,,,,,,,,,,,
13-Jun-2013,2.50,2.56,2.83,3.39,1.40,2.95,3.38,4.18,,,,,,,,,,,,,,,,
14-Jun-2013,2.49,2.55,2.83,3.36,1.37,2.94,3.37,4.15,,,,,,,,,,,,,,,,
17-Jun-2013,2.51,2.58,2.85,3.40,1.42,2.98,3.41,4.19,,,,,,,,,,,,,,,,
18-Jun-2013,2.49,2.56,2.84,3.39,1.42,2.94,3.37,4.16,,,,,,,,,,,,,,,,
19-Jun-2013,2.51,2.58,2.86,3.42,1.42,2.92,3.35,4.15,,,,,,,,,,,,,,,,
20-Jun-2013,2.64,2.73,3.03,3.64,1.62,3.03,3.48,4.31,,,,,,,,,,,,,,,,
21-Jun-2013,2.72,2.83,3.14,3.75,1.74,3.16,3.61,4.48,,,,,,,,,,,,,,,,
24-Jun-2013,2.86,3.00,3.37,4.04,2.05,3.37,3.84,4.76,,,,,,,,,,,,,,,,
25-Jun-2013,2.73,2.87,3.20,3.80,1.89,3.26,3.71,4.57,,,,,,,,,,,,,,,,
26-Jun-2013,2.71,2.89,3.23,3.84,1.89,3.30,3.76,4.62,,,,,,,,,,,,,,,,
27-Jun-2013,2.64,2.82,3.17,3.82,1.81,3.21,3.70,4.59,,,,,,,,,,,,,,,,
28-Jun-2013,2.58,2.76,3.11,3.76,1.70,3.11,3.63,4.53,,,,,,,,,,,,,,,,
01-Jul-2013,2.65,2.82,3.17,3.82,1.73,3.15,3.68,4.58,,,,,,,,,,,,,,,,
02-Jul-2013,2.61,2.77,3.13,3.74,1.60,3.12,3.63,4.50,,,,,,,,,,,,,,,,
03-Jul-2013,2.56,2.72,3.09,3.74,1.53,3.06,3.59,4.50,,,,,,,,,,,,,,,,
04-Jul-2013,2.63,2.79,3.15,3.80,1.62,3.15,3.66,4.55,,,,,,,,,,,,,,,,
05-Jul-2013,2.66,2.82,3.19,3.82,1.67,3.18,3.69,4.57,,,,,,,,,,,,,,,,
08-Jul-2013,2.67,2.84,3.24,3.90,1.83,3.20,3.74,4.65,,,,,,,,,,,,,,,,
