DATE,CPIAUCSL,CPILFESL
2010-01-01,217.488,220.63299999999998
2010-02-01,217.28099999999998,220.731
2010-03-01,217.35299999999998,220.783
2010-04-01,217.403,220.822
2010-05-01,217.29,220.96200000000002
2010-06-01,217.199,221.19400000000002
2010-07-01,217.605,221.363
2010-08-01,217.923,221.50900000000001
2010-09-01,218.275,221.71099999999998
2010-10-01,219.035,221.83
2010-11-01,219.59,222.149
2010-12-01,220.472,222.343
2011-01-01,221.187,222.803
2011-02-01,221.898,223.213
2011-03-01,223.046,223.454
2011-04-01,224.093,223.727
2011-05-01,224.80599999999998,224.175
2011-06-01,224.80599999999998,224.697
2011-07-01,225.395,225.218
2011-08-01,226.106,225.862
2011-09-01,226.597,226.118
2011-10-01,226.75,226.50599999999997
2011-11-01,227.169,226.899
2011-12-01,227.22299999999998,227.405
2012-01-01,227.842,227.877
2012-02-01,228.329,228.03400000000002
2012-03-01,228.80700000000002,228.47799999999998
2012-04-01,229.187,228.905
2012-05-01,228.713,229.22400000000002
2012-06-01,228.524,229.623
2012-07-01,228.59,229.97
2012-08-01,229.918,230.233
2012-09-01,231.015,230.65900000000002
2012-10-01,231.638,231.024
2012-11-01,231.24900000000002,231.33
2012-12-01,231.22099999999998,231.725
2013-01-01,231.679,232.229
2013-02-01,232.937,232.56900000000002
2013-03-01,232.282,232.794
2013-04-01,231.797,232.832
2013-05-01,231.893,232.99599999999998
2013-06-01,232.445,233.35
2013-07-01,232.9,233.88
2013-08-01,233.456,234.33599999999998
2013-09-01,233.544,234.7
2013-10-01,233.669,234.921
2013-11-01,234.1,235.359
2013-12-01,234.71900000000002,235.75900000000001
2014-01-01,235.28799999999998,235.96099999999998
2014-02-01,235.547,236.185
2014-03-01,236.028,236.625
2014-04-01,236.468,237.072
2014-05-01,236.918,237.52900000000002
2014-06-01,237.231,237.83700000000002
2014-07-01,237.498,238.195
2014-08-01,237.46,238.405
2014-09-01,237.477,238.78599999999997
2014-10-01,237.43,239.19099999999997
2014-11-01,236.983,239.458
2014-12-01,236.252,239.584
2015-01-01,234.718,239.825
2015-02-01,235.236,240.141
2015-03-01,236.005,240.739
2015-04-01,236.15599999999998,241.33700000000002
2015-05-01,236.97400000000002,241.628
2015-06-01,237.68400000000003,242.03599999999997
2015-07-01,238.053,242.50400000000002
2015-08-01,238.028,242.79
2015-09-01,237.50599999999997,243.324
2015-10-01,237.78099999999998,243.78599999999997
2015-11-01,238.016,244.33
2015-12-01,237.817,244.61
2016-01-01,237.833,245.108
2016-02-01,237.46900000000002,245.68400000000003
2016-03-01,238.03799999999998,245.986
2016-04-01,238.827,246.477
2016-05-01,239.46400000000003,247.018
2016-06-01,240.167,247.43099999999998
2016-07-01,240.15,247.763
2016-08-01,240.602,248.38400000000001
2016-09-01,241.051,248.74200000000002
2016-10-01,241.69099999999997,249.10299999999998
2016-11-01,242.02900000000002,249.59900000000002
2016-12-01,242.77200000000002,250.02900000000002
2017-01-01,243.78,250.62900000000002
2017-02-01,243.96099999999998,251.065
2017-03-01,243.74900000000002,250.873
2017-04-01,244.051,251.106
2017-05-01,243.96200000000002,251.33
2017-06-01,244.18200000000002,251.68900000000002
2017-07-01,244.39,251.99200000000002
2017-08-01,245.297,252.58
2017-09-01,246.418,252.979
2017-10-01,246.58700000000002,253.53400000000002
2017-11-01,247.332,253.887
2017-12-01,247.90099999999998,254.445
2018-01-01,248.88400000000001,255.218
2018-02-01,249.36900000000003,255.662
2018-03-01,249.498,256.144
2018-04-01,249.956,256.42
2018-05-01,250.646,256.906
2018-06-01,251.13400000000001,257.327
2018-07-01,251.597,257.876
2018-08-01,251.87900000000002,258.087
2018-09-01,252.01,258.496
2018-10-01,252.794,259.002
2018-11-01,252.76,259.61
2018-12-01,252.72299999999998,260.078
2019-01-01,252.673,260.70099999999996
2019-02-01,253.113,260.98900000000003
