Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
1959-10-29,0.324,0.324,0.319,0.324,,0.324,79.0,582.0
1959-10-30,0.3215,0.3278,0.321,0.3215,,0.3215,100.0,592.0
1959-11-02,0.323,0.323,0.318,0.323,,0.323,88.0,587.0
1959-11-04,0.33,0.3307,0.3259,0.33,,0.33,135.0,577.0
1959-11-05,0.331,0.334,0.331,0.331,,0.331,161.0,617.0
1959-11-06,0.3355,0.3358,0.3302,0.3355,,0.3355,103.0,641.0
1959-11-09,0.3365,0.3395,0.3365,0.3365,,0.3365,119.0,625.0
1959-11-10,0.3402,0.3405,0.338,0.3402,,0.3402,105.0,648.0
1959-11-11,0.3351,0.339,0.3312,0.3351,,0.3351,174.0,646.0
1959-11-12,0.3305,0.3318,0.328,0.3305,,0.3305,149.0,646.0
1959-11-13,0.325,0.3336,0.3236,0.325,,0.325,300.0,725.0
1959-11-16,0.3195,0.3267,0.3192,0.3195,,0.3195,167.0,675.0
1959-11-17,0.3143,0.3179,0.312,0.3143,,0.3143,254.0,672.0
1959-11-18,0.3162,0.3185,0.315,0.3162,,0.3162,146.0,685.0
1959-11-19,0.3166,0.3186,0.3143,0.3166,,0.3166,115.0,695.0
1959-11-20,0.314,0.3165,0.3126,0.314,,0.314,95.0,734.0
1959-11-23,0.3098,0.3115,0.309,0.3098,,0.3098,124.0,723.0
1959-11-24,0.314,0.3147,0.3125,0.314,,0.314,88.0,727.0
1959-11-25,0.3097,0.3128,0.3065,0.3097,,0.3097,82.0,746.0
1959-11-27,0.3078,0.3103,0.3067,0.3078,,0.3078,95.0,742.0
1959-11-30,0.3071,0.3074,0.3045,0.3071,,0.3071,72.0,769.0
1959-12-01,0.3175,0.3175,0.312,0.3175,,0.3175,113.0,789.0
1959-12-02,0.3219,0.3235,0.3195,0.3219,,0.3219,198.0,812.0
1959-12-03,0.319,0.3215,0.3175,0.319,,0.319,189.0,856.0
1959-12-04,0.3192,0.3204,0.318,0.3192,,0.3192,77.0,872.0
1959-12-07,0.3216,0.3229,0.3201,0.3216,,0.3216,88.0,875.0
1959-12-08,0.3264,0.327,0.3242,0.3264,,0.3264,173.0,870.0
1959-12-09,0.3265,0.3285,0.3256,0.3265,,0.3265,86.0,845.0
1959-12-10,0.3286,0.3298,0.325,0.3286,,0.3286,214.0,833.0
1959-12-11,0.3248,0.328,0.3235,0.3248,,0.3248,173.0,902.0
1959-12-14,0.3235,0.3242,0.322,0.3235,,0.3235,105.0,879.0
1959-12-15,0.3284,0.3285,0.3245,0.3284,,0.3284,94.0,846.0
1959-12-16,0.3233,0.3292,0.323,0.3233,,0.3233,154.0,851.0
1959-12-17,0.3215,0.3255,0.321,0.3215,,0.3215,104.0,851.0
1959-12-18,0.3269,0.3273,0.3215,0.3269,,0.3269,157.0,854.0
1959-12-21,0.3297,0.3325,0.3285,0.3297,,0.3297,170.0,859.0
1959-12-22,0.3296,0.3328,0.3296,0.3296,,0.3296,119.0,833.0
1959-12-23,0.3312,0.3324,0.3281,0.3312,,0.3312,148.0,812.0
1959-12-24,0.3338,0.334,0.332,0.3338,,0.3338,79.0,792.0
1959-12-28,0.3398,0.3399,0.335,0.3398,,0.3398,218.0,777.0
1959-12-29,0.3346,0.3378,0.3342,0.3346,,0.3346,225.0,717.0
1960-07-28,0.3056,0.3056,0.305,0.3056,,0.3056,28.0,427.0
1960-07-29,0.305,0.305,0.305,0.305,,0.305,0.0,432.0
1960-08-01,0.3048,0.3048,0.3047,0.3048,,0.3048,4.0,432.0
1960-08-02,0.306,0.3074,0.306,0.306,,0.306,21.0,434.0
1960-08-03,0.3062,0.307,0.306,0.3062,,0.3062,31.0,438.0
1960-08-04,0.3045,0.3051,0.3035,0.3045,,0.3045,22.0,435.0
1960-08-05,0.3048,0.305,0.3029,0.3048,,0.3048,27.0,433.0
1960-08-08,0.3026,0.304,0.3026,0.3026,,0.3026,21.0,431.0
1960-08-09,0.303,0.3044,0.3025,0.303,,0.303,49.0,438.0
1960-08-10,0.3018,0.3023,0.3009,0.3018,,0.3018,23.0,434.0
1960-08-11,0.3012,0.3015,0.3005,0.3012,,0.3012,54.0,439.0
1960-08-12,0.3014,0.302,0.3008,0.3014,,0.3014,6.0,443.0
1960-08-15,0.2987,0.3,0.298,0.2987,,0.2987,39.0,443.0
1960-08-16,0.301,0.3012,0.3,0.301,,0.301,17.0,444.0
1960-08-17,0.302,0.302,0.3015,0.302,,0.302,11.0,442.0
1960-08-18,0.302,0.3025,0.3015,0.302,,0.302,13.0,442.0
1960-08-19,0.3028,0.3036,0.3025,0.3028,,0.3028,20.0,443.0
1960-08-22,0.2996,0.301,0.2996,0.2996,,0.2996,31.0,445.0
1960-08-23,0.3007,0.3013,0.3003,0.3007,,0.3007,32.0,453.0
1960-08-24,0.3018,0.302,0.3013,0.3018,,0.3018,35.0,460.0
1960-08-25,0.3018,0.3021,0.301,0.3018,,0.3018,17.0,475.0
1960-08-26,0.3004,0.3013,0.3001,0.3004,,0.3004,37.0,486.0
1960-08-29,0.2993,0.3007,0.2992,0.2993,,0.2993,23.0,489.0
1960-08-30,0.2976,0.2987,0.2972,0.2976,,0.2976,39.0,494.0
1960-08-31,0.2945,0.296,0.2942,0.2945,,0.2945,72.0,494.0
1960-09-01,0.296,0.2964,0.2955,0.296,,0.296,24.0,506.0
1960-09-02,0.2958,0.296,0.2958,0.2958,,0.2958,12.0,503.0
1960-09-06,0.2955,0.2965,0.2955,0.2955,,0.2955,25.0,492.0
1960-09-07,0.2949,0.2965,0.2949,0.2949,,0.2949,25.0,486.0
1960-09-08,0.2926,0.2943,0.2926,0.2926,,0.2926,45.0,487.0
1960-09-09,0.2918,0.2931,0.2918,0.2918,,0.2918,38.0,473.0
1960-09-12,0.2924,0.2933,0.2922,0.2924,,0.2924,20.0,478.0
1960-09-13,0.293,0.293,0.2905,0.293,,0.293,51.0,474.0
1960-09-14,0.2946,0.2952,0.2946,0.2946,,0.2946,33.0,472.0
1960-09-15,0.2959,0.296,0.2953,0.2959,,0.2959,25.0,484.0
1960-09-16,0.2978,0.298,0.297,0.2978,,0.2978,40.0,497.0
1960-09-19,0.293,0.2954,0.2915,0.293,,0.293,88.0,506.0
1960-09-20,0.295,0.2953,0.294,0.295,,0.295,36.0,533.0
1960-09-21,0.2969,0.2969,0.2945,0.2969,,0.2969,29.0,538.0
1960-09-22,0.295,0.2955,0.2946,0.295,,0.295,11.0,533.0
1960-09-23,0.2945,0.295,0.2945,0.2945,,0.2945,19.0,538.0
1960-09-26,0.293,0.2932,0.2925,0.293,,0.293,61.0,533.0
1960-09-27,0.2933,0.2944,0.2933,0.2933,,0.2933,59.0,547.0
1960-09-28,0.292,0.2928,0.2915,0.292,,0.292,58.0,567.0
1960-10-28,0.2759,0.2761,0.2753,0.2759,,0.2759,85.0,368.0
1960-10-31,0.2759,0.2761,0.2751,0.2759,,0.2759,38.0,367.0
1960-11-01,0.2766,0.2777,0.2765,0.2766,,0.2766,54.0,380.0
1960-11-02,0.2782,0.2784,0.2767,0.2782,,0.2782,47.0,398.0
1960-11-03,0.2787,0.2795,0.2785,0.2787,,0.2787,56.0,397.0
1960-11-04,0.2787,0.2795,0.2785,0.2787,,0.2787,32.0,401.0
1960-11-07,0.2807,0.2809,0.2799,0.2807,,0.2807,59.0,402.0
1960-11-09,0.283,0.2835,0.2807,0.283,,0.283,66.0,400.0
1960-11-10,0.2808,0.2817,0.2806,0.2808,,0.2808,53.0,391.0
1960-11-11,0.2812,0.2815,0.2812,0.2812,,0.2812,7.0,382.0
1960-11-14,0.2773,0.2787,0.2771,0.2773,,0.2773,45.0,382.0
1960-11-15,0.2799,0.2799,0.2789,0.2799,,0.2799,23.0,380.0
