Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
1974-12-31,195.4,195.4,185.7,185.7,,185.7,879.0,366.0
1975-01-02,186.0,187.5,176.0,178.2,,178.2,868.0,677.0
1975-01-03,175.5,178.5,172.5,177.5,,177.5,633.0,758.0
1975-01-06,175.0,177.2,169.0,176.8,,176.8,1026.0,1010.0
1975-01-07,173.0,176.5,171.5,175.8,,175.8,1065.0,1170.0
1975-01-08,179.0,183.1,179.0,180.4,,180.4,1196.0,1220.0
1975-01-09,182.4,182.8,179.6,180.9,,180.9,669.0,1338.0
1975-01-10,178.5,183.9,178.3,183.8,,183.8,815.0,1385.0
1975-01-13,183.5,184.1,181.0,181.4,,181.4,529.0,1336.0
1975-01-14,179.5,181.5,178.7,181.2,,181.2,797.0,1407.0
1975-01-15,181.0,182.3,179.5,180.0,,180.0,798.0,1390.0
1975-01-16,180.0,180.1,176.5,177.7,,177.7,805.0,1504.0
1975-01-17,176.9,177.0,174.6,174.7,,174.7,1057.0,1452.0
1975-01-20,176.0,179.4,176.0,178.9,,178.9,1165.0,1574.0
1975-01-21,179.8,180.0,176.1,176.3,,176.3,863.0,1766.0
1975-01-22,178.1,178.8,176.0,176.9,,176.9,1082.0,1694.0
1975-01-23,176.3,179.5,175.5,178.9,,178.9,1051.0,1904.0
1975-01-24,181.0,182.9,179.9,182.2,,182.2,1368.0,1958.0
1975-01-27,182.0,183.0,179.3,179.4,,179.4,1077.0,2201.0
1975-01-28,179.0,179.4,177.2,178.6,,178.6,1208.0,2147.0
1975-01-29,180.0,181.7,179.6,181.7,,181.7,1380.0,2048.0
1975-01-30,179.7,180.7,178.0,178.3,,178.3,195.0,2139.0
1975-01-31,178.0,178.4,177.0,178.0,,178.0,907.0,2016.0
1975-02-03,179.1,179.7,178.1,178.3,,178.3,668.0,2012.0
1975-02-04,176.5,177.5,175.6,177.3,,177.3,914.0,2017.0
1975-02-05,177.2,177.4,176.5,176.7,,176.7,587.0,1949.0
1975-02-06,174.9,176.7,174.5,176.3,,176.3,806.0,1930.0
1975-02-07,177.2,177.4,176.4,177.3,,177.3,581.0,1955.0
1975-02-10,176.0,176.4,175.5,175.6,,175.6,503.0,1891.0
1975-02-11,176.3,177.1,176.1,176.8,,176.8,438.0,1920.0
1975-02-13,180.5,186.6,180.2,185.8,,185.8,1591.0,2409.0
1975-02-14,186.0,186.8,182.5,184.9,,184.9,1179.0,2517.0
1975-02-18,182.0,185.7,181.7,185.4,,185.4,999.0,2622.0
1975-02-19,186.0,188.0,185.5,185.6,,185.6,1147.0,2778.0
1975-02-20,185.7,188.4,185.4,187.7,,187.7,1180.0,2920.0
1975-02-21,188.0,188.5,185.0,186.0,,186.0,1221.0,3026.0
1975-02-24,186.7,187.5,186.6,186.9,,186.9,740.0,3092.0
1975-02-25,189.0,189.0,184.1,184.4,,184.4,1783.0,2798.0
1975-02-26,188.0,188.5,186.5,188.2,,188.2,109.0,488.0
1975-02-27,187.3,187.3,184.7,185.5,,185.5,82.0,462.0
1975-02-28,185.8,185.9,184.0,185.9,,185.9,95.0,504.0
1975-03-03,186.2,186.4,185.1,185.5,,185.5,62.0,493.0
1975-03-04,184.5,184.5,179.5,179.8,,179.8,294.0,560.0
1975-03-05,179.0,182.5,178.5,181.3,,181.3,379.0,682.0
1975-03-06,182.6,183.8,182.3,183.1,,183.1,134.0,631.0
1975-03-07,181.7,182.0,179.3,180.5,,180.5,147.0,682.0
1975-03-10,179.8,180.1,178.6,179.6,,179.6,159.0,698.0
1975-03-11,181.5,182.8,181.3,182.4,,182.4,345.0,732.0
1975-03-12,180.5,181.2,180.0,180.5,,180.5,223.0,844.0
1975-03-13,181.4,182.3,181.4,181.9,,181.9,200.0,968.0
1975-03-14,180.6,181.2,180.4,181.1,,181.1,196.0,955.0
1975-03-17,180.8,181.5,180.2,181.2,,181.2,72.0,948.0
1975-03-18,181.3,181.6,180.5,180.9,,180.9,205.0,1002.0
1975-03-19,181.4,181.8,180.8,181.5,,181.5,248.0,1061.0
1975-03-20,181.3,181.3,177.2,177.8,,177.8,309.0,1024.0
1975-03-21,179.0,179.3,177.8,177.9,,177.9,382.0,1294.0
1975-03-24,179.4,179.6,177.5,178.3,,178.3,372.0,1430.0
1975-03-25,179.5,179.5,178.0,178.7,,178.7,321.0,1570.0
1975-03-26,179.4,180.8,178.9,180.7,,180.7,884.0,1794.0
1975-03-27,180.1,180.4,177.8,178.5,,178.5,324.0,2069.0
1975-03-31,178.2,179.7,178.0,179.5,,179.5,443.0,2058.0
1975-04-01,179.7,179.7,178.4,179.1,,179.1,428.0,2179.0
1975-04-02,179.6,179.9,177.9,178.1,,178.1,485.0,2175.0
1975-04-03,177.5,177.5,176.0,177.1,,177.1,808.0,2190.0
1975-04-04,175.9,175.9,173.3,173.8,,173.8,1261.0,2398.0
1975-04-07,174.5,174.7,173.0,174.1,,174.1,535.0,2474.0
1975-04-08,175.2,175.6,174.4,174.5,,174.5,470.0,2405.0
1975-04-09,173.7,174.7,173.3,174.5,,174.5,569.0,2607.0
1975-04-10,173.7,173.7,172.1,173.1,,173.1,509.0,2742.0
1975-04-11,173.3,173.3,172.2,172.7,,172.7,263.0,2674.0
1975-04-14,169.0,169.7,165.8,166.2,,166.2,1589.0,2661.0
1975-04-15,163.0,165.3,162.3,164.6,,164.6,1180.0,2803.0
1975-04-16,166.5,167.4,166.1,166.5,,166.5,727.0,2857.0
1975-04-17,167.5,170.2,167.4,169.5,,169.5,885.0,2944.0
1975-04-18,170.8,171.0,168.4,169.0,,169.0,691.0,3045.0
1975-04-21,166.0,166.4,164.9,165.7,,165.7,658.0,3224.0
1975-04-22,165.1,168.0,165.0,166.7,,166.7,962.0,3026.0
1975-04-23,166.9,169.5,166.9,168.8,,168.8,768.0,2972.0
1975-04-24,168.5,168.5,166.5,167.0,,167.0,525.0,3055.0
1975-04-25,166.5,167.2,166.0,166.8,,166.8,576.0,3053.0
1975-04-28,168.6,169.6,168.4,168.4,,168.4,135.0,643.0
1975-04-29,169.1,170.4,169.1,169.9,,169.9,54.0,690.0
1975-04-30,169.6,169.8,168.9,168.9,,168.9,142.0,813.0
1975-05-01,168.7,168.7,168.0,168.6,,168.6,28.0,830.0
1975-05-02,167.6,167.6,167.1,167.1,,167.1,10.0,837.0
1975-05-05,165.5,166.0,165.3,165.5,,165.5,59.0,860.0
1975-05-06,166.3,167.3,166.3,166.9,,166.9,48.0,869.0
1975-05-07,167.1,168.4,167.1,168.1,,168.1,54.0,900.0
1975-05-08,168.6,169.4,168.6,169.3,,169.3,40.0,917.0
1975-05-09,168.1,168.8,168.0,168.6,,168.6,39.0,951.0
1975-05-12,168.1,168.1,167.6,167.9,,167.9,37.0,952.0
1975-05-13,168.5,168.8,168.3,168.7,,168.7,61.0,1015.0
1975-05-14,169.3,173.1,169.3,171.3,,171.3,107.0,1102.0
1975-05-15,168.8,168.8,168.0,168.0,,168.0,85.0,1115.0
1975-05-16,168.5,170.5,168.5,169.0,,169.0,113.0,1195.0
1975-05-19,170.0,171.5,169.7,170.9,,170.9,231.0,1374.0
1975-05-20,169.2,170.6,169.2,170.2,,170.2,118.0,1393.0
1975-05-21,171.0,174.8,170.9,174.2,,174.2,547.0,1603.0
1975-05-22,177.8,178.9,175.1,175.7,,175.7,668.0,1895.0
1975-05-23,177.0,177.2,175.4,176.9,,176.9,233.0,2086.0
1975-05-27,175.7,176.0,174.2,174.4,,174.4,380.0,2321.0
1975-05-28,174.5,175.0,172.1,172.5,,172.5,476.0,2525.0
1975-05-29,171.9,172.1,169.1,170.1,,170.1,511.0,2523.0
1975-05-30,169.1,169.5,168.2,169.0,,169.0,371.0,2539.0
1975-06-02,164.5,165.5,162.4,165.2,,165.2,1019.0,2556.0
1975-06-03,167.0,167.8,166.4,167.5,,167.5,516.0,2588.0
1975-06-04,167.5,167.5,165.7,165.9,,165.9,612.0,2358.0
1975-06-05,166.0,168.2,165.7,167.4,,167.4,724.0,2845.0
1975-06-06,167.4,167.6,166.8,167.2,,167.2,423.0,3003.0
1975-06-09,167.7,168.5,167.0,168.5,,168.5,707.0,3046.0
1975-06-10,168.3,168.3,167.0,167.3,,167.3,326.0,3205.0
1975-06-11,167.0,167.4,166.1,167.1,,167.1,419.0,2957.0
1975-06-12,167.0,167.6,166.5,166.5,,166.5,498.0,2824.0
1975-06-13,166.5,166.5,165.7,165.9,,165.9,452.0,2727.0
1975-06-16,165.8,166.0,164.0,164.4,,164.4,616.0,2673.0
1975-06-17,164.9,166.2,164.9,166.0,,166.0,638.0,2626.0
1975-06-18,165.6,165.7,164.3,165.4,,165.4,376.0,2676.0
1975-06-19,164.6,164.6,163.4,164.3,,164.3,648.0,2734.0
1975-06-20,163.9,164.5,163.9,164.3,,164.3,235.0,2717.0
1975-06-23,163.8,164.0,163.3,163.5,,163.5,372.0,2682.0
1975-06-24,163.5,164.7,163.4,164.5,,164.5,385.0,2740.0
1975-06-25,165.0,166.4,165.0,166.3,,166.3,824.0,2700.0
1975-06-26,168.3,168.6,167.8,168.5,,168.5,229.0,1345.0
1975-06-27,168.4,171.0,168.4,170.6,,170.6,230.0,1457.0
1975-06-30,171.0,171.0,170.0,170.4,,170.4,130.0,1496.0
1975-07-01,171.3,172.4,169.6,170.7,,170.7,283.0,1641.0
1975-07-02,169.9,169.9,168.9,168.9,,168.9,82.0,1697.0
1975-07-03,168.0,169.1,167.9,169.1,,169.1,69.0,1744.0
1975-07-07,167.5,167.8,166.5,166.5,,166.5,170.0,1836.0
1975-07-08,167.0,169.7,166.9,169.3,,169.3,106.0,1903.0
1975-07-09,170.3,170.3,169.1,169.5,,169.5,847.0,1788.0
1975-07-10,168.0,168.0,167.4,168.0,,168.0,331.0,1920.0
1975-07-11,168.1,170.2,168.1,170.2,,170.2,131.0,1951.0
1975-07-14,171.0,171.0,169.6,169.8,,169.8,26.0,1974.0
1975-07-15,169.0,169.2,168.7,168.7,,168.7,114.0,2043.0
1975-07-16,168.1,168.4,167.8,168.1,,168.1,37.0,2046.0
1975-07-17,168.3,168.3,167.4,168.0,,168.0,16.0,2044.0
1975-07-18,166.7,168.2,166.7,168.1,,168.1,36.0,2042.0
1975-07-21,167.5,168.3,167.5,167.9,,167.9,49.0,2017.0
1975-07-22,169.7,169.7,169.1,169.3,,169.3,187.0,2156.0
1975-07-23,168.0,168.6,167.8,168.5,,168.5,148.0,2248.0
1975-07-24,168.9,169.3,168.5,169.0,,169.0,558.0,2555.0
1975-07-25,169.3,171.1,169.3,171.1,,171.1,572.0,2746.0
1975-07-28,171.0,173.5,171.0,173.0,,173.0,671.0,3028.0
1975-07-29,174.1,174.8,170.7,170.7,,170.7,564.0,3198.0
1975-07-30,171.9,172.1,170.2,170.8,,170.8,228.0,3282.0
1975-07-31,170.8,170.9,170.2,170.5,,170.5,324.0,3108.0
1975-08-01,170.8,171.0,170.5,170.5,,170.5,102.0,3168.0
1975-08-04,170.5,171.2,170.3,170.3,,170.3,68.0,3226.0
1975-08-05,169.6,169.6,168.8,168.9,,168.9,239.0,3217.0
1975-08-06,168.4,168.9,167.7,168.2,,168.2,209.0,3237.0
1975-08-07,169.0,169.0,168.4,168.5,,168.5,231.0,3109.0
1975-08-08,167.0,167.0,162.5,164.0,,164.0,265.0,3172.0
1975-08-11,163.8,165.0,163.3,164.1,,164.1,238.0,3070.0
1975-08-12,165.0,166.5,165.0,165.7,,165.7,223.0,2990.0
1975-08-13,164.8,165.0,162.4,162.4,,162.4,203.0,3165.0
1975-08-14,163.0,163.5,160.0,161.3,,161.3,448.0,3143.0
1975-08-15,162.2,164.2,162.1,164.2,,164.2,137.0,3129.0
1975-08-18,162.9,163.6,162.9,163.6,,163.6,42.0,3093.0
1975-08-19,163.0,163.6,162.8,163.6,,163.6,108.0,3108.0
1975-08-20,164.5,165.1,164.1,164.4,,164.4,84.0,3101.0
1975-08-21,163.6,163.7,162.7,163.7,,163.7,84.0,3209.0
1975-08-22,164.3,164.3,163.2,163.2,,163.2,51.0,3029.0
1975-08-25,163.7,163.7,163.0,163.3,,163.3,23.0,3016.0
1975-08-26,163.3,163.3,162.7,162.9,,162.9,20.0,3011.0
1975-08-27,165.6,166.3,164.8,166.0,,166.0,441.0,5543.0
1975-08-28,166.3,166.8,165.3,165.5,,165.5,278.0,5499.0
1975-08-29,165.5,165.6,162.5,162.8,,162.8,794.0,5452.0
1975-09-02,152.8,153.3,152.8,152.8,,152.8,725.0,5219.0
1975-09-03,151.0,154.4,150.8,153.7,,153.7,1227.0,4986.0
1975-09-04,155.8,156.3,154.8,155.2,,155.2,923.0,4987.0
1975-09-05,155.6,156.0,155.4,156.0,,156.0,589.0,4987.0
1975-09-08,155.4,155.4,152.8,153.0,,153.0,623.0,4953.0
